id,Product_Code,Product_Description,ClassCode,Division
,1290,IPAC 689E                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1291,IPAC 2113                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,4592,KENDEX MNE150                 ,SPECIALTY PRODUCTS            ,Refinery
,1292,OLOA 30005                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1294,SOLUBLE BASE GT 1580VS        ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1293,ADDCO CP-OB-5                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1295,LZ 5391                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,7947,BARS RISLONE WATER            ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,8569,P5931 R13224A                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8571,INFINEUM C9426 R14642A        ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8568,BPL 4639 R13246               ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1296,IPAC 6510                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,4124,KENSOL 6180                   ,KENSOL DISTILLATES HT         ,Refinery
,1297,OLOA 9725XV                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,7320,J20A UNVRSL TRACTOR HYD FLUID ,TRACTOR TRANSMISSION FLUID    ,BlendedLubes
,1298,OLOA 2508H                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1299,IPAC 9220                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1300,ARAMCOPRIMA 100               ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,4407,CRODAMINE PREMIX FOR 6327     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8572,INFIEUM SV 603 (R11613A)      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8573,BP (R05180B)                  ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1301,LZ FC9270                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1302,LZ 35200R                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,7534,FULL SYN 4 CYCLE 10W50        ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,179V,MAVERICK VP120A PLUS 2 X 2    ,RESALE-BLENDED LUBES          ,BlendedLubes
,1014,MCC 0092                      ,ADDITIVES-REFINERY            ,Refinery
,7715,85W-140 GEAR OIL - OUTSOURCED ,RESALE-BLENDED LUBES          ,BlendedLubes
,1015,AKYLATE                       ,ADDITIVES-REFINERY            ,Refinery
,4462,KENWAX JAR CANDLE BLEND       ,WAXES                         ,Refinery
,7306,ARGUARD ASHLESS BEARING OIL   ,SINGLE GRADE R&O              ,BlendedLubes
,1304,AFTON HITEC 611               ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1305,AFTON HITEC 614               ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1306,AFTON HITEC 7169              ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1307,AFTON HITEC 7188              ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1308,AFTON HITEC 9595              ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1309,AFTON HITEC 11104             ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1310,SYNFLUID MPAO 100             ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1311,VISCOPLEX 14-520              ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1312,MOLYVAN 3000                  ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,7100,GP-1 BREAK-IN 30 GRADE        ,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7101,GP-1 SEMI-SYN 5W-20 ALTERNATE ,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7102,GP-1 SEMI-SYN 10W-30          ,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7103,GP-1 SEMI-SYN 15W-40 ALTERNATE,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7104,GP-1 SEMI-SYN 20W-50 ALTERNATE,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7106,GP-1 NITRO 70 SEMI-SYN ALTERNT,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7401,DOT 3 BRAKE FLUID             ,RESALE-BLENDED LUBES          ,BlendedLubes
,1313,AFTON HITEC 3337-DNU          ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,7724,ROCK DRILL OIL ISO VG 1000    ,GEAR OIL-SPECIALTY            ,BlendedLubes
,1315,LUBRICIT 9514-2               ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1316,AFTON HITEC 3491 LV           ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1317,LUBRIZOL 7418A                ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1314,LZ 5069                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,4137,KENSOL BRD                    ,KENSOL DISTILLATES HT         ,Refinery
,7928,POWER FLOW ENGINE FLUSH       ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,1318,IPAC 404                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,7096,XP6 15W-50 SYNTHETIC RACNG OIL,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7095,XP5 20W-50 SEMI-SYN RACING OIL,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7099,XP9 10W-40 SYNTHETIC RACNG OIL,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7097,XP7 10W-40 SEMI-SYN RACING OIL,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7098,LS30 5W-30 SYNTHETIC RACNG OIL,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7948,BARS LEAKS GEAR REPAIR        ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,7107,TOTAL SEAL ASSEMBLY LUBE      ,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7433,AT6 SYNTHETIC ATF             ,TYPE 'A' ATF                  ,BlendedLubes
,7432,AT3 SYNTHETIC ATF             ,TYPE 'A' ATF                  ,BlendedLubes
,1319,AFTON HITEC 340-DNU           ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,7545,10W-40 MOTORCYCLE RACING OIL  ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,1320,IPAC 745                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,7270,DIESEL MOTIVE GULF TOW494     ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,1321,IPAC 9112                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1322,AFTON HITEC 12205B            ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1323,SYNFLUID PAO 2.5 CST          ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,7538,4 STROKE JET SKI OIL          ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,7130,XP2 SYN 0W-20 RACING MTR OIL  ,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7138,FR20 SYN 5W-20 PERF MOTOR OIL ,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7141,XP3 SYN 10W-30 RCNG MOTR OIL  ,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7136,DR40 SEMI-SYN 15W-40 TDMO     ,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,4408,RCK DRLL OIL ISO VG 1000 PREMX,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1324,PLI TG 1028                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1325,VANLUBE 407                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,7509,VOC SEMI SYN HYD/TF 10W-30    ,TRACTOR TRANSMISSION FLUID    ,BlendedLubes
,7291,ARGUARD ZF DDS+ 14 SAE 20W40  ,RAIL ROAD OIL-MULTI GRADE     ,BlendedLubes
,1326,ALOX 2292B                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1327,VISCOPLEX 8-219               ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1328,IPAC 9893                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,7108,DI20 SYN 0W-20                ,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,1329,IPAC 9110                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1330,IPAC 2114                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,7512,VISCOSITY HYDRAULIC 46        ,SINGLE GRADE R&O AW           ,BlendedLubes
,7513,VISCOSITY HYDRAULIC 68        ,SINGLE GRADE R&O AW           ,BlendedLubes
,7515,VISCOSITY HYDRAULIC 32        ,SINGLE GRADE R&O AW           ,BlendedLubes
,7514,TUTELA HYDRAULIC EXCAVATOR FLD,SINGLE GRADE R&O AW           ,BlendedLubes
,9720,DEWAXED UNEXT LN CHARGE      ,IN PROCESS-REF                ,Refinery
,4329,KENDEX 0060HT                 ,BASE OILS                     ,Refinery
,1331,HITEC 3339                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1332,HITEC 397                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,7092,DT 40 FULL SYNTHETIC 5W-40    ,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7091,XP1 FULL SYNTHETIC 5W-20      ,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7093,DT50 FULL SYNTHETIC 15W-50    ,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7094,FR50 FULL SYNTHETIC 5W-50     ,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7550,ARGUARD FULL SYN ENG OIL 0W-20,RESALE-BLENDED LUBES          ,BlendedLubes
,7419,ARGUARD MULTI-VEHICLE ATF     ,RESALE-BLENDED LUBES          ,BlendedLubes
,7552,ARGUARD-FULL SYN ENG OIL 5W-30,RESALE-BLENDED LUBES          ,BlendedLubes
,7551,ARGUARD FULL SYN ENG OIL 5W-20,RESALE-BLENDED LUBES          ,BlendedLubes
,7090,HVL HIGH VISCOSITY LUBRICANT  ,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7553,ARGUARD-FULL SYN ENG 10W-30   ,RESALE-BLENDED LUBES          ,BlendedLubes
,7420,ARGUARD-MULTI VEHICLE ATF LV  ,RESALE-BLENDED LUBES          ,BlendedLubes
,7434,STF TRANSMISSION FLUID        ,TYPE 'A' ATF                  ,BlendedLubes
,1333,OLOA 21030A                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,7220,MAVERICK ULTRA HDDEO CK4 15W40,RESALE-BLENDED LUBES          ,BlendedLubes
,7727,DRIVEN SYN LMT SLIP 75W-90 GO ,GEAR OIL-HYPOID GL-5          ,BlendedLubes
,4559,KENRES HEAVY LIGHT BLEND 7525 ,RESINS                        ,Refinery
,9710,KENDEX 0847H                  ,KENDEX 0847/H                 ,Refinery
,7726,VP PREM BAR & CHAIN OIL       ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7307,RAYMOND AW 46                 ,RESALE-BLENDED LUBES          ,BlendedLubes
,7292,ARGUARD ZF DDS+17 SAE 20W40   ,RAIL ROAD OIL-MULTI GRADE     ,BlendedLubes
,1334,OLOA 55603                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,7736,VISCOSITY TRANSAXLE FLD 80W140,GEAR OIL-HYPOID GL-4          ,BlendedLubes
,7173,DI30 SYNTHETIC 5W-30 PERF MO  ,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,1335,OLOA 48021                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1336,OLOA 49805                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1337,OLOA 49827                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1338,OLOA 49835                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1339,OLOA 50704                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1340,INFINEUM SV265                ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1341,INFINEUM D3503L               ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,180V,VOC ENGINE OIL SS 10W40 CK-4  ,RESALE-BLENDED LUBES          ,BlendedLubes
,181V,VOC ENGINE OIL SS 10W30 CK-4  ,RESALE-BLENDED LUBES          ,BlendedLubes
,182V,VOC ENGINE OIL SS 15W40 CK-4  ,RESALE-BLENDED LUBES          ,BlendedLubes
,183V,VOC GEAR OIL SAE 75W90        ,RESALE-BLENDED LUBES          ,BlendedLubes
,184V,VOC GEAR OIL SAE 80W90        ,RESALE-BLENDED LUBES          ,BlendedLubes
,185V,VOC GEAR OIL SAE 85W140       ,RESALE-BLENDED LUBES          ,BlendedLubes
,186V,VOC COOLANT ORGANIC PREMIX    ,RESALE-BLENDED LUBES          ,BlendedLubes
,187V,VOC COOLANT ORGANIC CONCENTRAT,RESALE-BLENDED LUBES          ,BlendedLubes
